seed,difficulty,peak_config,peak_family,peak_distance_weight,peak_intensity_weight,peak_sigma_weight,runtime_s,hota,deta,assa,tp,fp,fn
1,"S4 (N=20, I=550+/-200)",sigma_only,ablation,0.0,0.0,1.0,2.249891099985689,0.3735952693953019,0.8447653429602888,0.1652215333851703,936,108,64
1,"S4 (N=20, I=550+/-200)",dist_int_90_10,distance_intensity,0.9,0.1,0.0,3.094256999902427,0.4167086961651543,0.8247978436657682,0.21053175489390502,918,113,82
1,"S4 (N=20, I=550+/-200)",dist_int_75_25,distance_intensity,0.75,0.25,0.0,3.063762300182134,0.4401903240724873,0.8242753623188406,0.2350762017949162,910,104,90
1,"S4 (N=20, I=550+/-200)",dist_int_60_40,distance_intensity,0.6,0.4,0.0,2.5922926000785083,0.44182641279372464,0.8414298808432631,0.23199862934096765,918,91,82
1,"S4 (N=20, I=550+/-200)",dist_sig_90_10,distance_sigma,0.9,0.0,0.1,3.0917005999945104,0.43099454649169183,0.8381555153707052,0.22162509904074487,927,106,73
1,"S4 (N=20, I=550+/-200)",dist_sig_75_25,distance_sigma,0.75,0.0,0.25,3.1544065000489354,0.46663223693731826,0.8545288197621226,0.2548136932464606,934,93,66
1,"S4 (N=20, I=550+/-200)",dist_sig_60_40,distance_sigma,0.6,0.0,0.4,2.5344428000971675,0.46138103612807974,0.8581884720951509,0.2480486133528701,938,93,62
1,"S4 (N=20, I=550+/-200)",dist_meta_80_10_10,all_terms,0.8,0.1,0.1,2.928366400068626,0.43563724909668533,0.8324324324324325,0.22798224264998426,924,110,76
1,"S4 (N=20, I=550+/-200)",dist_meta_70_20_10,all_terms,0.7,0.2,0.1,2.9870111998170614,0.443273633142039,0.8410535876475931,0.23362543924047105,926,101,74
1,"S4 (N=20, I=550+/-200)",dist_meta_50_40_10,all_terms,0.5,0.4,0.1,2.8175818999297917,0.43711921496508166,0.8480436760691538,0.22531057477764646,932,99,68
1,"S4 (N=20, I=550+/-200)",equal_all,all_terms,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.5126495000440627,0.45006193691424623,0.8519195612431444,0.23776393485252068,932,94,68
2,"S4 (N=20, I=550+/-200)",distance_only,ablation,1.0,0.0,0.0,3.540904200170189,0.3954694738882176,0.7659574468085106,0.20418380345941423,864,128,136
2,"S4 (N=20, I=550+/-200)",intensity_only,ablation,0.0,1.0,0.0,2.815098199993372,0.3552152013075631,0.7650602409638554,0.1649253646758697,889,162,111
2,"S4 (N=20, I=550+/-200)",sigma_only,ablation,0.0,0.0,1.0,2.1599918000865728,0.37266030419299984,0.7818021201413428,0.17763536161313004,885,132,115
2,"S4 (N=20, I=550+/-200)",dist_int_90_10,distance_intensity,0.9,0.1,0.0,3.670751400059089,0.3934750534782057,0.7679362267493357,0.20160869134282025,867,129,133
2,"S4 (N=20, I=550+/-200)",dist_int_75_25,distance_intensity,0.75,0.25,0.0,2.741459999931976,0.3866344248051553,0.7693661971830986,0.19429782461424888,874,136,126
2,"S4 (N=20, I=550+/-200)",dist_int_60_40,distance_intensity,0.6,0.4,0.0,2.9623285999987274,0.3841349941327871,0.7539267015706806,0.19572153819460214,864,146,136
2,"S4 (N=20, I=550+/-200)",dist_sig_90_10,distance_sigma,0.9,0.0,0.1,2.3955639998894185,0.3850449940662609,0.7671353251318102,0.1932640077942086,873,138,127
2,"S4 (N=20, I=550+/-200)",dist_sig_75_25,distance_sigma,0.75,0.0,0.25,3.87133300001733,0.39647282623322033,0.7724867724867724,0.20348659360901736,876,134,124
2,"S4 (N=20, I=550+/-200)",dist_sig_60_40,distance_sigma,0.6,0.0,0.4,2.930580799933523,0.4137897904548082,0.7882037533512064,0.21723062083458677,882,119,118
2,"S4 (N=20, I=550+/-200)",dist_meta_80_10_10,all_terms,0.8,0.1,0.1,3.225368699990213,0.3821828074262525,0.7629499561018437,0.1914459750918636,869,139,131
2,"S4 (N=20, I=550+/-200)",dist_meta_70_20_10,all_terms,0.7,0.2,0.1,2.893592700129375,0.3994593577714335,0.7735346358792184,0.20628394788010682,871,126,129
2,"S4 (N=20, I=550+/-200)",dist_meta_50_40_10,all_terms,0.5,0.4,0.1,2.6750645998399705,0.3936708859278111,0.7616534740545294,0.2034741148126009,866,137,134
2,"S4 (N=20, I=550+/-200)",equal_all,all_terms,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.4778401001822203,0.3978697890482636,0.7836879432624113,0.20199413605665775,884,128,116
3,"S4 (N=20, I=550+/-200)",distance_only,ablation,1.0,0.0,0.0,2.3540709998924285,0.4420534747878035,0.7822506861848124,0.24980645977446148,855,93,145
3,"S4 (N=20, I=550+/-200)",intensity_only,ablation,0.0,1.0,0.0,2.279288899851963,0.409966885152255,0.786618444846293,0.21366502148863808,870,106,130
3,"S4 (N=20, I=550+/-200)",sigma_only,ablation,0.0,0.0,1.0,2.544660200132057,0.3917703207246943,0.7882882882882883,0.19470539710035442,875,110,125
3,"S4 (N=20, I=550+/-200)",dist_int_90_10,distance_intensity,0.9,0.1,0.0,3.1250775998923928,0.44814912035562693,0.7784867821330902,0.2579846423663324,854,97,146
3,"S4 (N=20, I=550+/-200)",dist_int_75_25,distance_intensity,0.75,0.25,0.0,3.0844803999643773,0.45121894546262936,0.7967032967032966,0.2555512668102216,870,92,130
